WILLIAMS 36 63 63
HADDAD MAIA 63 36 63
KEYS 63 36 63
OSAKA 2-0
BENCIC 2-0
GIORGI 2-1
ROGERS 2-0
HALEP 2-0
KALININA 2-1
PLISKOVA 2-0
KALINSKAYA 2-1
KONTAVEIT 2-0
GAUFF 2-0
